Model,R@50,MRR,nDCG@10,Onto_R@1,Onto_R@5,Onto_MRR,Tok/s
mxbai-embed-large,0.4570,0.1865,0.1299,0.7886,0.8829,0.8297,36322.8
biolord-2023,0.4474,0.1621,0.1096,0.8000,0.8943,0.8398,26008.7
medcpt-query,0.4233,0.1550,0.1050,0.7814,0.8943,0.8288,29494.6
nomic-embed,0.4089,0.1736,0.1281,0.7900,0.8671,0.8245,25205.5
sapbert,0.3570,0.1725,0.1116,0.8543,0.9371,0.8891,46891.8
specter2,0.3367,0.1670,0.1194,0.7129,0.8214,0.7612,24549.9
pubmedncl,0.3174,0.1148,0.0775,0.6800,0.8043,0.7354,38112.2
qwen3-embed-0.6b,0.3167,0.1802,0.1277,0.7371,0.8514,0.7839,2855.0
pubmedbert-embed,0.3141,0.1310,0.0868,0.7600,0.8757,0.8135,40272.5
medcpt-article,0.2952,0.1044,0.0706,0.7371,0.8671,0.7947,31102.8
bge-m3,0.2767,0.1477,0.0908,0.7971,0.8743,0.8284,17551.8
s-pubmedbert-marco,0.2581,0.1462,0.1037,0.7971,0.8829,0.8332,40790.7
biomedbert-large,0.0789,0.0209,0.0080,0.6214,0.7229,0.6675,10986.2
biomedbert-base,0.0474,0.0267,0.0085,0.6100,0.7271,0.6577,31485.4
